Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Solanum tuberosum,C00005258,"{Kaempferol IN NAME} Kaempferol 3-sophorotrioside-7-rhamnoside"
Solanum tuberosum,C00005413,"{Quercetin REL} Rutin"
Solanum tuberosum,C00005454,"{Quercetin REL} Quercetin 3-(2G-glucosylrutinoside)"
Solanum tuberosum,C00006614,"Cyanidin"
Solanum tuberosum,C00006789,"{Quercetin REL} Pelargonidin 3-(4'''-p-coumarylrutinoside)-5-glucoside"
Solanum tuberosum,C00006874,"{Quercetin REL} Peonidin 3-caffeylrutinoside-5-glucoside"
Solanum tuberosum,C00006897,"{Quercetin REL} Petunidin 3-(4'''-p-coumarylrutinoside)"
Solanum tuberosum,C00014853,"{Quercetin REL} Pelargonidin 3-(4'''-feruloylrutinoside)-5-glucoside"
Sorghum bicolor,C00006610,"{Apigenin IN NAME} Apigeninidin"
Sorghum bicolor,C00006753,"{Apigenin IN NAME} Apigeninidin 5-(5''-caffeylarabinoside)"
Spinacia oleracea,C00005579,"{Quercetin REL} Isorhamnetin 3-sophoroside-7-glucoside"
Tarenaya hassleriana
Theobroma cacao,C00000674,"Luteolin"
Theobroma cacao,C00000947,"Catechin"
Theobroma cacao,C00000956,"Epicatechin"
Theobroma cacao,C00000982,"Naringenin"
Theobroma cacao,C00000998,"{Naringenin IN NAME} Naringenin 7-O-beta-D-glucoside"
Theobroma cacao,C00001059,"{Apigenin REL} Isovitexin"
Theobroma cacao,C00001059,"{Apigenin REL} Isovitexin"
Theobroma cacao,C00001110,"{Apigenin REL} Vitexin"
Theobroma cacao,C00002935,"{Cyanidin IN NAME} Procyanidin B4"
Theobroma cacao,C00003817,"Apigenin"
Theobroma cacao,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Theobroma cacao,C00006650,"{Cyanidin IN NAME} Cyanidin 3-arabinoside"
Theobroma cacao,C00009075,"{Cyanidin IN NAME} Procyanidin B1"
Theobroma cacao,C00009076,"{Cyanidin IN NAME} Procyanidin B5"
Theobroma cacao,C00009077,"{Cyanidin IN NAME} Procyanidin B2"
Theobroma cacao,C00009098,"{Cyanidin IN NAME} Procyanidin C1"
Theobroma cacao,C00009275,"{Cyanidin IN NAME} Proanthocyanidin A7"
Theobroma cacao,C00009277,"{Cyanidin IN NAME} Proanthocyanidin A1"
Theobroma cacao,C00009313,"{Epicatechin IN NAME} 3-O-L-Arabinopyranosyl-ent-epicatechin-(2alpha->7,4alpha->8)-epicatechin"
