ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ASTERACEAE#ARTEMISIA MUTELLINA#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#ARTEMISIA OLIVERIANA#LUTEOLIN 3'-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ETHER
ASTERACEAE#ARTEMISIA PALUSTRIS#LUTEOLIN
ASTERACEAE#ARTEMISIA PONTICA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-6-7'-TRIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER#LUTEOLIN-3'-7-DIMETHYL ETHER#LUTEOLIN-3'-METHYL ETHER#LUTEOLIN-7-METHYL ETHER
ASTERACEAE#ARTEMISIA SANTOLINIFOLIA#LUTEOLIN
ASTERACEAE#ARTEMISIA SCHMIDTIANA#LUTEOLIN#LUTEOLIN,6-HYDROXY: 3'-4'-6-TRIMETHYL ESTER#LUTEOLIN,6-HYDROXY: 3'-6-DIMETHYL ETHER#LUTEOLIN,6-HYDROXY: 6-METHYL ETHER
ASTERACEAE#ARTEMISIA SPICIGERA#LUTEOLIN
ASTERACEAE#ARTEMISIA SYLVATICA#LUTEOLIN#LUTEOLIN-7-O-NEOHESPERIDOSIDE
ASTERACEAE#ARTEMISIA TRIDENTATA#LUTEOLIN#LUTEOLIN,6-HYDROXY:
ASTERACEAE#ARTEMISIA TRIDENTATA_CV.VASEYANA#LUTEOLIN
ASTERACEAE#ARTEMISIA TRIDENTATA_CV.WYOMINGENSIS#LUTEOLIN
ASTERACEAE#ARTEMISIA VULGARIS#LUTEOLIN
ASTERACEAE#ARTEMISIA XEROPHYTICA#LUTEOLIN
ASTERACEAE#ASANTHUS SOLIDAGINIFOLIUS#LUTEOLIN,6-METHOXY: 4'-METHYL ETHER
ASTERACEAE#ASANTHUS THRYSIFLORUS#LUTEOLIN-6-METHYL ETHER
ASTERACEAE#ASTER BRACTEOLATUS#LUTEOLIN#LUTEOLIN-7-O-GALACTOSIDE
ASTERACEAE#ASTER SUBULATUS_VAR.LIGULATUS#LUTEOLIN
