ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
CRASSULACEAE#SEDUM MONTANUM_SSP.ORIENTALE#MYRICETIN-3-O-ARABINOFURANOSIDE
CRASSULACEAE#SEDUM MULTICEPS#MYRICETIN
CRASSULACEAE#SEDUM OCHROLEUCUM#MYRICETIN
CRASSULACEAE#SEDUM PRUINATUM#MYRICETIN
CRASSULACEAE#SEDUM REFLEXUM#MYRICETIN#MYRICETIN,DIHYDRO: (+):
CRASSULACEAE#SEDUM RUPESTRE_SSP.ERECTUM#MYRICETIN
CRASSULACEAE#SEDUM SEDIFORME#MYRICETIN
CRASSULACEAE#SEDUM SEXANGULARE#MYRICETIN#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-7-O-ALPHA-L-RHAMNOPYRANOSIDE
CRASSULACEAE#SEDUM TENUIFOLIUM_SSP.IBERICUM#MYRICETIN
CRASSULACEAE#SEDUM TENUIFOLIUM_SSP.TENUIFOLIUM#MYRICETIN
CRASSULACEAE#SEDUM URSI#MYRICETIN
CRASSULACEAE#SEMPERVIVUM ADENOTRICHUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM ALTUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM ARACHNOIDEUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM ATLANTICUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM BALLSII#MYRICETIN
CRASSULACEAE#SEMPERVIVUM BORISSOVAE#MYRICETIN
CRASSULACEAE#SEMPERVIVUM CALCAREUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM CAUCASICUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM CILIOSUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM DZHAVACHISCHVILI#MYRICETIN
CRASSULACEAE#SEMPERVIVUM ERYTHRAEUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM FURSEORUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM GRANDIFLORUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM GUISEPPII#MYRICETIN
CRASSULACEAE#SEMPERVIVUM INGWERSENII#MYRICETIN
CRASSULACEAE#SEMPERVIVUM KINDINGERI#MYRICETIN
CRASSULACEAE#SEMPERVIVUM MARMOREUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM MONTANUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM OSSETIENSE#MYRICETIN
CRASSULACEAE#SEMPERVIVUM PUMILUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM REGINAE-AMALIAE#MYRICETIN
CRASSULACEAE#SEMPERVIVUM TECTORUM#MYRICETIN
CRASSULACEAE#SEMPERVIVUM THOMPSONINANUM#MYRICETIN
CUPRESSACEAE#CALLITRIS COLUMELLARIS#MYRICETIN-7-O-ARABINOSIDE
CUPRESSACEAE#CALOCEDRUS DECURRENS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#CUPRESSUS SEMPERVIRENS#MYRICETIN
CUPRESSACEAE#LIBOCEDRUS CHEVALIERI#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#LIBOCEDRUS FORMOSANA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#LIBOCEDRUS YATEENSIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
CUPRESSACEAE#THUJA ORIENTALIS#MYRICETIN
CUPRESSACEAE#THUJA ORIENTALIS_VAR.MEXICANA#MYRICETIN
DIDIEREACEAE#ALLUAUDIA DUMOSA#MYRICETIN,6-C-METHYL-3-O-METHYL:
DIDIEREACEAE#ALLUAUDIA HUMBERTII#MYRICETIN,3-METHOXY-6-8-DI-C-METHYL:#MYRICETIN,DIHYDRO: 6-8-DI-C-METHYL:
DILLENIACEAE#DAVILLA ELLIPTICA#MYRICETIN-3-O-BETA-GALACTOPYRANOSIDE
DILLENIACEAE#DILLENIA INDICA#MYRICETIN
DIOSCOREACEAE#DIOSCOREA BULBIFERA#MYRICETIN#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE
DROSERACEAE#DROSERA ROTUNDIFOLIA#MYRICETIN
EBENACEAE#DIOSPYROS GLAUCIFOLIA#MYRICETIN#MYRICETIN-3-O-BETA-GLUCORONIDE
ELAEAGNACEAE#HIPPOPHAE RHAMNOIDES#MYRICETIN
ELAEOCARPACEAE#ELAEOCARPUS FLORIBUNDUS#MYRICETIN
ELAEOCARPACEAE#ELAEOCARPUS LANCEAEFOLIUS#MYRICETIN
ELAEOCARPACEAE#ELAEOCARPUS OBLONGUS#MYRICETIN
ELAEOCARPACEAE#ELAEOCARPUS SERRATUS#MYRICETIN
ELAEOCARPACEAE#ELAEOCARPUS TUBERCULATUS#MYRICETIN
ERICACEAE#ARCTOSTAPHYLOS UVA-URSI#MYRICETIN#MYRICETIN GLYCOSIDE#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-GALACTOSIDE
ERICACEAE#ARCTOSTAPHYLOS UVA-URSI_VAR.ADENOTRICHA#MYRICETIN#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ERICACEAE#ARCTOSTAPHYLOS UVA-URSI_VAR.COACTILIS#MYRICETIN#MYRICETIN-3-O-ARABINOSIDE#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ERICACEAE#BEFARIA CINNAMOMEA#MYRICETIN
ERICACEAE#CAVENDISHIA ADENOPHORA#MYRICETIN
ERICACEAE#CAVENDISHIA ALLENII#MYRICETIN
