ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ACERACEAE#ACER TETRAMERUM_VAR.BETULIFOLIUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TONKINENSE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER TONKINENSE_SSP.KWANGSIENSE#CYANIDIN-3-5-DIGLUCOSIDE
ACERACEAE#ACER TRAUTVETTERI#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TRIFLORUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TRUNCATUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TURCOMANICUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER TURKESTANICUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER UKURUNDUENSE#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#DIPTERONIA SINENSIS#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACTINIDIACEAE#ACTINIDIA ARGUTA#PROANTHOCYANIDIN B-4
ACTINIDIACEAE#ACTINIDIA CHINENSIS#PROANTHOCYANIDIN POLYMER
AIZOACEAE#NELIA MEYERI#PROCYANIDIN B-2#PROCYANIDIN B-5#PROCYANIDIN C-1
AMARYLLIDACEAE#PANCRATIUM HORTUORUM#CYANIDIN
ANACARDIACEAE#ANACARDIUM OCCIDENTALE#LEUCOCYANIDIN
ANACARDIACEAE#COTINUS COGGYGRIA#CYANIDIN-3-O-GALACTOSIDE#CYANIDIN-3-O-GLUCOSIDE-7-RHAMNOSIDE
ANACARDIACEAE#PISTACIA LENTISCUS#PISTACIA PROCYANIDIN POLYMER
ANACARDIACEAE#PISTACIA VERA#CYANIDIN-3-O-BETA-GALACTOSIDE
ANACARDIACEAE#SCHINUS MOLLE_VAR.AREIRA#CYANIDIN-3-O-ALPHA-L-GALACTOSIDE#CYANIDIN-3-O-BETA-D-RUTINOSIDE
ANACARDIACEAE#SCLEROCARYA BIRREA#SCLEROCARYA PROCYANIDIN
ANACARDIACEAE#TRICHOSCYPHA PATENS#CYANIDIN
ANNONACEAE#ANNONA SQUAMOSA#PROCYANIDIN
ANNONACEAE#ARTABOTRYS RHOPALOCARPUS#CYANIDIN
ANNONACEAE#CLEISTOPHOLIS STAUDTII#CYANIDIN
ANNONACEAE#ENANTIA CHLORANTHA#CYANIDIN
ANNONACEAE#ISOLONA CAMPANULATA#CYANIDIN
ANNONACEAE#MONANTHOTAXIS CAULIFLORA#CYANIDIN
ANNONACEAE#PACHYPODANTHIUM BARTERI#CYANIDIN
ANNONACEAE#PACHYPODANTHIUM CONFINE#CYANIDIN
ANNONACEAE#PACHYPODANTHIUM STAUDTII#CYANIDIN
ANNONACEAE#PIPTOSTIGMA FASCICULATA#CYANIDIN
ANNONACEAE#POLYALTHIA LONGIFOLIA#POLYALTHIA PROANTHOCYANIDIN
ANNONACEAE#POLYCERATOCARPUS PARVIFLORUS#CYANIDIN
ANNONACEAE#UVARIOPSIS CONGENSIS#CYANIDIN
ANNONACEAE#XYLOPIA ACUTIFLORA#CYANIDIN
ANNONACEAE#XYLOPIA AETHIOPICA#CYANIDIN
ANNONACEAE#XYLOPIA PHLOIODORA#CYANIDIN
ANNONACEAE#XYLOPIA QUINTASII#CYANIDIN
APIACEAE#CHUANMINSHEN VIOLACEUM#PROCYANIDIN A-2
APIACEAE#DAUCUS CAROTA#CYANIDIN DIGLYCOSIDE#CYANIDIN-3-(SINAPOYL-XYLOSYL-GLUCOSYL-GALACTOSIDE)#CYANIDIN-3-5-DIGALACTOSIDE#CYANIDIN-3-GLUCOGALACTOSIDE#CYANIDIN-3-O-GALACTOSIDE
